Period Name,Start Date,End Date,Strategy,Period Return,Max Drawdown in Period,Average Cash Weight,Average Equity Exposure,Average Treasury Exposure,Average Credit Exposure,Average Real Asset Exposure
2020 Crash,2020-02-19,2020-03-19,Equal Weight,-0.20038813114823417,-0.20392789334049521,0.0,0.3846153846153847,0.23076923076923084,0.15384615384615388,0.23076923076923084
2020 Crash,2020-02-19,2020-03-19,Minimum Variance,-0.0982682775491025,-0.10536038112506341,0.0,0.04756975654467591,0.4999998191477719,0.4112869299535309,0.04114349435402126
2020 Crash,2020-02-19,2020-03-19,Traditional MVO,-0.15818788073517331,-0.16246887888012684,0.0,0.2499999998592415,0.2500000006387262,0.24999999969266076,0.24999999980937157
2020 Crash,2020-02-19,2020-03-19,Proposed Strategy,-0.15345613635676114,-0.15699806445201092,0.034648028370004004,0.14279473049786978,0.3635272786604045,0.24999999673424242,0.20902996573747937
2022 Drawdown,2022-03-08,2022-09-26,Equal Weight,-0.14845788584152997,-0.17197594495041402,0.0,0.38461538461538464,0.23076923076923084,0.15384615384615388,0.23076923076923084
2022 Drawdown,2022-03-08,2022-09-26,Minimum Variance,-0.11072967535900358,-0.10848267772440712,0.0,0.05105996683621102,0.4999999407790477,0.32871972769336427,0.120220364691377
2022 Drawdown,2022-03-08,2022-09-26,Traditional MVO,-0.15716895118240837,-0.1795659527677863,0.0,0.18106406541268297,0.1666666472056424,1.3012698108964949e-08,0.6522692743689765
2022 Drawdown,2022-03-08,2022-09-26,Proposed Strategy,-0.05585757541969594,-0.06541733369690983,0.7002369575930006,0.020931356818013253,1.539184619705604e-09,1.9411946357333334e-10,0.27883168385568213
Proposed Max Drawdown,2020-02-19,2020-03-19,Equal Weight,-0.20038813114823417,-0.20392789334049521,0.0,0.3846153846153847,0.23076923076923084,0.15384615384615388,0.23076923076923084
Proposed Max Drawdown,2020-02-19,2020-03-19,Minimum Variance,-0.0982682775491025,-0.10536038112506341,0.0,0.04756975654467591,0.4999998191477719,0.4112869299535309,0.04114349435402126
Proposed Max Drawdown,2020-02-19,2020-03-19,Traditional MVO,-0.15818788073517331,-0.16246887888012684,0.0,0.2499999998592415,0.2500000006387262,0.24999999969266076,0.24999999980937157
Proposed Max Drawdown,2020-02-19,2020-03-19,Proposed Strategy,-0.15345613635676114,-0.15699806445201092,0.034648028370004004,0.14279473049786978,0.3635272786604045,0.24999999673424242,0.20902996573747937
